,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Critical,Tot CasesPerM,DeathsPerM,Total Tests,TestsPerM
166,Fiji,15,+1,15, , ,15, ,17, , , 
167,Mongolia,15, ,15, ,4,11, ,5, , , 
168,Liberia,14, ,14, ,3,8, ,3,0.6, , 
169,Saint Lucia,14, ,14, ,1,13, ,76, , , 
170,Curaçao,13, ,13, ,5,7, ,79,6, , 
171,Sudan,12, ,12, ,2,8, ,0.3,0.05, , 
172,Grenada,12, ,12, , ,12,2,107, ,45,400
173,Laos,12, ,12, , ,12, ,2, ,621,85
174,Greenland,11, ,11, ,4,7, ,194, ,718,"12,648"
175,Seychelles,11, ,11, , ,11, ,112, , , 
176,Suriname,10, ,10, , ,9, ,17,2, , 
177,Zimbabwe,10, ,10, , ,9, ,0.7,0.07,316,21
178,Mozambique,10, ,10, ,1,9, ,0.3, ,363,12
179,Saint Kitts and Nevis,10, ,10, , ,10, ,188, ,149,"2,801"
180,Eswatini,10, ,10, ,4,6, ,9, , , 
181,MS Zaandam,9, ,9, , ,7, , , , , 
182,Nepal,9, ,9, ,1,8, ,0.3, ,"1,656",57
183,Chad,9, ,9, , ,9, ,0.5, , , 
184,Turks and Caicos,8, ,8, , ,7, ,207,26,61,"1,576"
185,CAR,8, ,8, , ,8, ,2, , , 
186,Belize,7, ,7, , ,6,1,18,3,268,674
187,Cabo Verde,7, ,7, ,1,5, ,13,2, , 
188,Vatican City,7, ,7, , ,7, ,"8,739", , , 
189,St. Vincent Grenadines,7, ,7, ,1,6, ,63, , , 
190,Somalia,7, ,7, ,1,6, ,0.4, , , 
191,Botswana,6, ,6, , ,5, ,3,0.4,966,411
192,Mauritania,6, ,6, ,2,3, ,1,0.2,67,14
193,Nicaragua,6, ,6, , ,5, ,0.9,0.2, , 
194,Montserrat,6, ,6, , ,6, ,"1,202", , , 
195,St. Barth,6, ,6, ,1,5, ,607, , , 
196,Sierra Leone,6, ,6, , ,6, ,0.8, , , 
197,Bhutan,5, ,5, ,2,3, ,6, , , 
198,Malawi,5, ,5, , ,5,1,0.3, , , 
199,Gambia,4, ,4, ,2,1, ,2,0.4, , 
200,Sao Tome and Principe,4, ,4, , ,4, ,18, ,19,87
201,Western Sahara,4, ,4, , ,4, ,7, , , 
202,Anguilla,3, ,3, , ,3, ,200, , , 
203,British Virgin Islands,3, ,3, , ,3, ,99, , , 
204,Burundi,3, ,3, , ,3, ,0.3, , , 
205,Caribbean Netherlands,2, ,2, , ,2, ,76, ,10,381
206,Falkland Islands,2, ,2, , ,2, ,575, , , 
207,Papua New Guinea,2, ,2, , ,2, ,0.2, ,72,8
208,Saint Pierre Miquelon,1, ,1, , ,1, ,173, , , 
209,South Sudan,1, ,1, , ,1, ,0.09, , , 
210,Timor-Leste,1, ,1, , ,1, ,0.8, , , 
211,China,"81,740",+32,"81,740", ,"77,167","1,242",211,57,2, , 
212,Total:,"1,347,235","+1,231","1,347,235",+113,"286,234","986,234","47,353",172.8,9.6, , 
